"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p","Movement_leftEar","Movement_leftShoulder","Movement_neck","Movement_nose","Movement_rightEar","Movement_rightShoulder","Movement_spineLower","Movement_spineMid","Movement_spineUpper","Movement_tailBase","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75"
"1760",494.12378,262.87146,0.46839413,498.05283,282.44238,0.6457833,485.42563,251.08987,0.74581325,506.1805,261.41226,0.7197472,529.42694,249.07031,0.6123352,528.22504,273.8928,0.54345304,505.47375,208.77975,0.47877645,588.83746,179.94385,0.75022924,565.51807,115.03768,0.8875824,365.12097,796.6189,0.5817667,0.044268437,0.037918806,0.23757243,0.013745594,0.017511295,0.010190612,0.028044831,0.0416097,0.17230758,0.02393551,0.6271048,0.06271048,0.010190612,0.23757243,0.04624853748828173,0.09249707497656345,1.2636678148061038,6.3183390740305185,1.0799116830651958,6.479470098391175,0.9676732625812292,6.7737128380686045,0.928843671704332,13.93265507556498,6.433881,0.6433881,0,2,8
"1761",498.8018,263.26508,0.46161035,500.40234,282.715,0.6183604,485.8719,253.06252,0.7444157,507.93756,260.975,0.69396627,531.7852,247.65918,0.58158886,569.00275,261.08514,0.5262405,505.2606,207.51497,0.4554925,589.5512,179.73093,0.7133668,567.00867,117.859856,0.90124893,364.48816,795.8119,0.4516625,0.15648465,0.078842685,0.06741628,0.060354654,0.091607645,1.424725,0.04275411,0.024827572,0.10638795,0.034184333,2.0875847,0.20875847,0.024827572,1.424725,0.13573447614908218,0.27146895229816437,0.8320175815373659,4.16008790768683,1.0878495912378032,6.52709754742682,0.9554612245410681,6.6882285717874765,0.921033313497901,13.815499702468514,6.147953,0.6147953,0,3,9
"1762",471.88333,241.12025,0.4712929,505.32776,284.09628,0.47131595,487.8785,259.51907,0.5725094,510.77756,261.7492,0.6944643,529.9329,243.55667,0.5170203,538.79877,272.4548,0.45743507,504.0522,208.32776,0.41451293,589.8961,179.10893,0.69465196,567.5313,118.01332,0.90173006,365.6361,795.79193,0.53401935,1.1618934,0.17051448,0.22537297,0.09812105,0.15004285,1.0757682,0.04854401,0.023707459,0.018156981,0.03827076,3.010392,0.3010392,0.018156981,1.1618934,0.2548988312482834,0.5097976624965668,0.41459370739758017,2.0729685369879007,0.7435211827978492,4.461127096787095,0.9754481052181551,6.828136736527085,0.923036049430569,13.845540741458535,5.7289524,0.5728952,0,4,9
"1763",472.32938,241.53784,0.48594862,506.10626,282.912,0.5338829,488.20453,258.2739,0.5510601,509.87708,260.50998,0.66920227,532.6504,246.42944,0.5255672,538.23883,273.18008,0.4815225,504.94424,206.61581,0.47265688,591.03906,178.52376,0.7249298,568.78766,116.37666,0.871204,365.14148,795.69446,0.49854687,0.020367054,0.047241975,0.04290503,0.051061533,0.13181406,0.030542523,0.06434736,0.042801235,0.06877546,0.016804721,0.5166609,0.051666092,0.016804721,0.13181406,0.17635264061391354,0.35270528122782707,0.13079216592013837,0.6539608296006918,0.3541057715192437,2.1246346291154623,0.6446847412735224,4.512793188914657,0.9153639946132899,13.730459919199347,5.814522,0.5814522,0,4,9
"1764",469.14377,241.06474,0.44935817,504.41632,281.9365,0.6010738,492.36118,251.47746,0.64341867,510.33368,260.45718,0.7547027,533.21545,246.12427,0.52377355,537.18585,273.3319,0.52147365,505.7716,198.45026,0.4571883,591.096,178.40436,0.70283264,569.07074,116.58008,0.8621664,366.0394,795.2533,0.5403594,0.10735156,0.065042645,0.26555854,0.015321538,0.021406878,0.035462257,0.27357885,0.0044094836,0.011619549,0.03334803,0.83309937,0.08330993,0.0044094836,0.27357885,0.06748801283538342,0.13497602567076683,0.14149683341383934,0.7074841670691967,0.12287846052398284,0.7372707631438971,0.3154206518083811,2.2079445626586676,0.7419391973565023,11.129087960347533,6.0563474,0.60563475,0,2,8
"1765",465.62238,242.6213,0.45302337,502.50287,281.2002,0.5718514,493.4494,250.4878,0.6695076,509.84695,260.3743,0.79454076,533.5616,244.59174,0.5626395,537.39044,271.40735,0.5534359,506.50278,206.68991,0.45631492,590.91864,177.51021,0.68941796,570.4925,115.94066,0.89532936,793.6669,761.78296,0.56220096,0.12833592,0.06834092,0.049031544,0.016457729,0.052371107,0.06451348,0.2757344,0.030385729,0.051964078,14.297845,15.03498,1.503498,0.016457729,14.297845,0.7934039458632469,1.5868078917264938,0.4296543292701244,2.148271646350622,0.3684970208754142,2.2109821252524853,0.3201098173324551,2.2407687213271856,0.8246733569850524,12.370100354775786,6.208262,0.6208262,0,2,8
"1766",465.26505,242.60751,0.45969182,502.94333,281.88422,0.567215,492.3639,250.7002,0.63478595,508.83377,259.9904,0.7710225,532.6226,245.30627,0.569991,536.89264,271.82227,0.5595581,505.87595,206.49916,0.49003595,590.8848,177.76044,0.7326036,571.6378,116.479614,0.9059906,792.8993,760.53217,0.6761491,0.011919883,0.027118871,0.03686985,0.036115997,0.039330795,0.021601534,0.0218404,0.008416772,0.04219323,0.04891785,0.29432517,0.029432517,0.008416772,0.04891785,0.7664652373641729,1.5329304747283459,0.39378913789987563,1.9689456894993782,0.3629506938159466,2.1777041628956795,0.32005923454250607,2.2404146417975426,0.7137805512795846,10.706708269193769,6.3670435,0.6367043,0,2,8
"1767",464.77545,242.29092,0.47165072,503.36917,280.65192,0.53948706,493.53848,249.08058,0.6828949,509.01703,260.0473,0.8095639,533.50397,244.17657,0.5730548,535.9884,270.90805,0.5478708,506.36682,198.2497,0.43582755,590.07605,175.94391,0.64898187,572.86255,116.22695,0.9373112,365.2459,795.2397,0.7147128,0.019434523,0.043460127,0.066690095,0.006396428,0.047760922,0.042861946,0.27546856,0.06628135,0.041684072,14.301983,14.912021,1.4912021,0.006396428,14.301983,0.7603173162788153,1.5206346325576305,0.6318217232823372,3.159108616411686,0.5766913009186586,3.4601478055119514,0.5241294684154647,3.6689062789082527,0.7083239129434029,10.624858694151044,6.361356,0.6361356,0,2,8
"1768",465.3047,242.63174,0.58580714,499.87,256.96588,0.59365714,496.45587,248.13603,0.682691,510.49274,259.60608,0.77407634,532.5761,240.87192,0.5281088,536.59,271.25082,0.50632024,506.30878,198.17816,0.43641847,589.5112,176.13306,0.6447298,573.9353,117.26524,0.9362294,365.32916,796.40375,0.61965704,0.020982772,0.79810363,0.10221617,0.051341902,0.11441482,0.023080643,0.0030706779,0.019854968,0.049764458,0.03890119,1.2217314,0.122173145,0.0030706779,0.79810363,0.806687630712986,1.613375261425972,0.6459231339395046,3.229615669697523,0.5468802936375141,3.2812817618250847,0.5117601358464786,3.58232095092535,0.7043194841593504,10.564792262390256,6.307695,0.6307695,0,1,8
"1769",465.2432,243.01495,0.6397563,503.4002,257.37906,0.766703,497.40005,248.63853,0.5982898,503.17807,255.23972,0.7004449,532.3713,238.55214,0.4938028,537.46,270.73334,0.491714,507.56668,201.05746,0.49599177,589.715,175.82645,0.7062615,574.08624,117.24168,0.9657953,793.2216,761.68854,0.50423455,0.012937057,0.11847698,0.035652503,0.28395906,0.07762681,0.033742223,0.10473622,0.012272042,0.0050922907,14.309946,14.994441,1.4994441,0.0050922907,14.309946,0.8108086362481117,1.6216172724962234,0.9291499726474285,4.645749863237143,0.7881766327967247,4.729059796780348,0.6829608412725585,4.780725888907909,0.7846662433197101,11.769993649795651,6.362994,0.63629943,0,3,8
