"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p","Movement_leftEar","Movement_leftShoulder","Movement_neck","Movement_nose","Movement_rightEar","Movement_rightShoulder","Movement_spineLower","Movement_spineMid","Movement_spineUpper","Movement_tailBase","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","Probability_sniffing_up","sniffing_up","Probability_sniffing_down","sniffing_down","Probability_grooming","grooming","Probability_rearing","rearing","Probability_turning","turning","Probability_moving","moving","Probability_rest","rest","Probability_running","running","Probability_top","top","Probability_other","other"
"275",819.5537,604.0586,0.59277344,799.1328,601.52344,0.79785156,804.06213,627.39453,1,796.6416,611.975,1,782.72266,613.5459,0.9423828,777.8535,591.11523,0.85498047,777.5703,636.0054,0.97802734,722.3955,626.7363,0.98095703,664.93945,611.7444,1,512.0215,582.3965,0.90722656,0.04043007,0.16935284,0.09215916,0.16843241,0.15380326,0.1237962,0.1538518,0.11438825,0.049073733,0.07523045,1.1405182,0.11405182,0.04043007,0.16935284,0.13619749,0.27239498,0.11936334,0.59681666,0.110875085,0.66525054,0.12180899,0.8526629,0.1656505,2.4847574,9.054199,0.90541995,0,0,1,0.0005,0,0.0065,0,0,0,0.0285,0,0.654,1,0.8885,1,0.013,0,0.0365,0,0.352,0,0.011,0
"276",820.3611,598.08984,0.68652344,796.5508,596.2455,0.8183594,803.9662,622.4004,1,796.63965,608.18555,1,781.3887,609.8574,0.9550781,777.6719,589.3115,0.8100586,779.40625,633.01953,0.9682617,723.05176,624.2422,0.89208984,665.18555,610.9873,1,511.79688,582.49023,0.90722656,0.20077027,0.1958562,0.16650207,0.12631431,0.13074307,0.060427792,0.116837524,0.085967705,0.02653577,0.008112983,1.1180677,0.11180677,0.008112983,0.20077027,0.1129293,0.2258586,0.12382887,0.6191444,0.11810391,0.70862347,0.11100819,0.7770573,0.15599376,2.3399062,9.037598,0.9037598,0,0,1,0.0075,0,0.001,0,0,0,0.1295,0,0.6935,1,0.753,1,0.001,0,0.0075,0,0.288,0,0.004,0
"277",824.8828,595.1719,0.7597656,797.0869,591.46094,0.89697266,803.3037,616.9883,0.93896484,795.69116,603.7958,0.97216797,779.6228,606.3906,0.89453125,775.10156,585.0996,0.79052734,779.96246,630.00195,0.9663086,718.71484,622.9785,0.8823242,665.1719,609.5957,1,512.84766,581.98145,0.9248047,0.17938343,0.16048302,0.18175013,0.14970234,0.12968755,0.16447468,0.10228039,0.15057553,0.046388958,0.038915973,1.303642,0.13036421,0.038915973,0.18175013,0.121085495,0.24217099,0.12748975,0.6374487,0.124918096,0.74950856,0.11985538,0.83898765,0.14628294,2.1942441,9.026367,0.9026367,0,0,0,0.0005,0,0.008,0,0,0,0.107,0,0.6795,1,0.8155,1,0.004,0,0.02,0,0.123,0,0.0085,0
"278",827.91504,599.4531,0.94384766,794.5576,591.7969,0.91259766,798.8633,617.43164,0.9267578,791.6582,604.875,0.9604492,775,606.5742,0.91845703,773.42285,585.53125,0.80615234,778.61914,629.49316,0.95166016,719.16016,619.8818,0.89453125,665.791,609.68164,1,511.9453,582.78516,0.92333984,0.17487615,0.08505029,0.14875029,0.13916211,0.1542149,0.0577772,0.047881596,0.1042865,0.020835876,0.040279243,0.97311425,0.09731142,0.020835876,0.17487615,0.113837816,0.22767563,0.12237548,0.6118774,0.12246002,0.7347601,0.12097429,0.84682,0.13372418,2.0058627,9.237793,0.9237793,0,0,0,0.001,0,0.0075,0,0.0005,0,0.0765,0,0.6845,1,0.8185,1,0.0035,0,0.029,0,0.094,0,0.015,0
"279",828.6245,600.6582,1,795.1113,590.64453,0.89697266,798.66406,617.4824,0.91015625,791.2246,604.5161,0.95996094,774.10156,606.06836,0.9086914,772.61523,584.3164,0.8222656,777.69727,629.08105,0.9116211,717.292,618.52637,0.95996094,666.2969,608.57227,1,512.59375,581.72266,0.9370117,0.046613835,0.042615753,0.0068529677,0.018761758,0.03436865,0.04862659,0.033659864,0.07693552,0.040642157,0.04149133,0.39056844,0.039056845,0.0068529677,0.07693552,0.06818414,0.13636827,0.098518215,0.49259108,0.10848904,0.6509342,0.110545285,0.77381694,0.12410783,1.8616174,9.306641,0.93066406,0,0,0,0.0125,0,0.003,0,0,0,0.0775,0,0.667,1,0.852,1,0.1165,0,0.0555,0,0.0915,0,0,0
"280",829.4824,600.08594,0.9941406,794.5674,591.2246,0.90771484,798.6953,617.08203,0.8955078,791.2461,604.1821,0.9614258,774.4082,605.67773,0.93066406,772.79785,583.4199,0.84228516,778,628.66943,0.9038086,717.61035,617.74805,0.9609375,666.9424,608.4453,1,512.6797,581.1621,0.953125,0.034375343,0.02650717,0.013386943,0.011155823,0.016553495,0.030496508,0.017031997,0.028030444,0.021929113,0.018903205,0.21837005,0.021837005,0.011155823,0.034375343,0.030446924,0.06089385,0.08007525,0.40037626,0.08573801,0.5144281,0.09611018,0.6727712,0.11567154,1.7350731,9.349609,0.93496096,0,0,0,0.0205,0,0.003,0,0,0,0.083,0,0.673,1,0.9495,1,0.082,0,0.0605,0,0.0065,0,0,0
"281",828.76025,598.0508,0.92285156,794.6035,590.9336,0.89160156,799.9883,616.5,0.93652344,792.0078,603.7737,0.97314453,775.11914,605.3887,0.94433594,773.2031,582.43945,0.83447266,778.8291,627.82117,0.93115234,718.30664,615.4668,0.9526367,668.06,607.8047,1,512.8906,580.8242,0.9355469,0.07198293,0.009775007,0.04726437,0.028810581,0.025581878,0.03536422,0.039538525,0.079504855,0.042940054,0.013277579,0.39404,0.039403997,0.009775007,0.079504855,0.0306205,0.061241,0.065594696,0.32797348,0.07329671,0.43978027,0.07911887,0.55383205,0.108372256,1.6255838,9.322266,0.93222654,0,0,0,0.0125,0,0.007,0,0,0,0.084,0,0.6605,1,0.622,1,0.0295,0,0.055,0,0.039,0,0,0
"282",827.47656,590.2969,0.9511719,793.8965,587.17773,0.8051758,802.1572,612.46826,1,793.16406,600.375,0.9873047,776.9219,602.5078,1,774.4238,580.4175,0.82958984,782.97656,624.9492,0.9868164,719.13086,613.81445,0.9707031,669.50195,606.43945,1,515.11426,579.87146,0.9272461,0.2619816,0.12739427,0.15260419,0.11966597,0.11328039,0.07872942,0.16815838,0.06155013,0.06619081,0.08063837,1.2301936,0.12301936,0.06155013,0.2619816,0.08121168,0.16242336,0.064125724,0.32062864,0.07516547,0.45099285,0.080399945,0.56279963,0.10557763,1.5836645,9.458008,0.9458008,0,0,0,0.043,0,0.022,0,0,0,0.052,0,0.701,1,0.871,1,0.0135,0,0.0575,0,0.025,0,0,0
"283",830.33984,583.8789,0.82128906,794.1074,581.5332,0.9736328,804.14014,608.125,1,796.06946,595.46436,1,778.334,598.53125,0.98583984,773.3086,576.66016,0.89160156,784.75,623.1914,0.9189453,720.56445,612.5703,1,670.8926,605.9785,0.99853516,514.7041,579.551,0.94970703,0.23425698,0.18828239,0.15915002,0.19019216,0.14066154,0.1306447,0.08323317,0.06327257,0.0488342,0.017349558,1.2558773,0.12558773,0.017349558,0.23425698,0.12430355,0.2486071,0.06978099,0.34890494,0.07436939,0.44621637,0.08236865,0.5765806,0.10273668,1.5410503,9.539551,0.95395505,0,0,0,0.03,0,0.0385,0,0,0,0.0445,0,0.2465,0,0.811,1,0.01,0,0.061,0,0.03,0,0.0025,0
"284",822.8379,572.3247,0.8334961,792.39844,574.97266,0.8696289,804.8198,601.3906,0.99609375,795.17236,588.3384,1,779.7538,593.3574,1,773.32227,571.9661,0.93115234,786.54004,616.5586,0.9033203,724.9365,610.06055,0.9951172,672.96875,606.1172,0.9995117,517.80273,578.71094,0.8925781,0.4592008,0.2259828,0.2256196,0.2394074,0.17883676,0.15646836,0.22900373,0.16804074,0.06935993,0.107016474,2.0589366,0.20589367,0.06935993,0.4592008,0.1657407,0.3314814,0.10314835,0.51574177,0.09246644,0.5547986,0.09315857,0.65211004,0.10396877,1.5595316,9.420898,0.94208986,0,0,0,0.0345,0,0.0555,0,0,0,0.0305,0,0.717,1,0.812,1,0.0155,0,0.1315,0,0.0825,0,0.008,0
