"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p","Movement_leftEar","Movement_leftShoulder","Movement_neck","Movement_nose","Movement_rightEar","Movement_rightShoulder","Movement_spineLower","Movement_spineMid","Movement_spineUpper","Movement_tailBase","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","Probability_sniffing_up","sniffing_up","Probability_sniffing_down","sniffing_down","Probability_grooming","grooming","Probability_rearing","rearing","Probability_turning","turning","Probability_moving","moving","Probability_rest","rest","Probability_running","running","Probability_top","top","Probability_other","other"
"1026",867.26917,167.65166,0.8432289,822.99347,145.44205,0.9485937,826.234,181.25845,0.9952252,811.4271,163.77235,0.87036604,798.7,177.92114,0.9618598,789.27936,149.01077,0.953474,822.09216,200.1826,0.9445672,780.1535,213.57213,0.9766384,779.125,253.79523,0.98784137,733.68787,412.9954,0.97986484,0.02947376,0.0014973215,0.0020885332,0.0018323677,0.00018310547,0.0027631551,0.022461215,0.014470819,0.0059980634,0.00042114258,0.081189476,0.008118948,0.00018310547,0.02947376,0.009484721,0.018969443,0.007917083,0.039585415,0.008585153,0.051510915,0.00945677,0.06619739,0.010289188,0.15433781,9.461659,0.9461659,0,0,0,0.549,1,0.001,0,0.001,0,0.37,0,0.195,0,0.4555,0,0.2085,0,0.001,0,0.0215,0,0,0
"1027",863.8612,167.75261,0.7595087,822.88965,145.59232,0.9608226,825.8902,181.79143,0.98808634,811.2928,163.88245,0.86922705,798.9037,177.92114,0.9666812,789.541,149.01077,0.9601646,822.21533,200.166,0.9269273,780.8014,213.47914,0.9696891,779.261,253.86629,0.99657375,733.69476,413.00998,0.98539937,0.11364846,0.0060881847,0.021141523,0.005789558,0.0067891437,0.008721923,0.0041427584,0.021817569,0.005114449,0.00053785637,0.19379143,0.019379143,0.00053785637,0.11364846,0.013749045,0.02749809,0.010195008,0.05097504,0.009827427,0.058964558,0.010127151,0.07089006,0.011378998,0.17068496,9.38308,0.93830794,0,0,0,0.185,0,0.0065,0,0.0015,0,0.51,1,0.134,0,0.1725,0,0.1795,0,0.0015,0,0.023,0,0,0
"1028",863.35803,168.0294,0.77555895,822.42926,145.83557,0.969952,825.1993,182.15141,0.9855879,810.75934,164.25699,0.8543774,798.9037,178.37415,0.9697577,789.7426,149.01077,0.9554754,822.21533,200.18437,0.9205004,781.4412,213.34811,0.9718295,779.4591,253.89726,0.99659526,733.68787,413.00998,0.9885943,0.019142712,0.017356733,0.02596915,0.021726785,0.015100097,0.0067199706,0.0006123861,0.02177033,0.006684231,0.00022989909,0.13531229,0.0135312285,0.00022989909,0.02596915,0.016455185,0.03291037,0.012348073,0.06174036,0.010751044,0.06450627,0.010356541,0.07249579,0.011773145,0.17659716,9.388228,0.93882287,0,0,0,0.2555,0,0.0055,0,0.0065,0,0.47,0,0.124,0,0.156,0,0.366,0,0,0,0.0415,0,0,0
"1029",861.6145,168.0294,0.741896,822.0872,145.9802,0.9862984,824.6254,182.29114,0.9843726,810.2021,164.67014,0.8584531,798.9037,178.42868,0.9692311,789.7524,149.05992,0.955332,822.21533,200.20473,0.9226409,781.4412,213.34811,0.97574,779.46265,253.95319,0.9968905,733.674,413.00998,0.9847345,0.058117677,0.012378647,0.019687269,0.023123318,0.0018178304,0.0016703121,0.0006785075,0,0.0018678465,0.00046183268,0.119803235,0.011980323,0,0.058117677,0.012755776,0.025511552,0.012772027,0.06386013,0.01228678,0.073720686,0.0109266555,0.07648659,0.012018516,0.18027773,9.375588,0.9375588,0,0,1,0.1135,0,0.008,0,0.0085,0,0.7675,1,0.054,0,0.0955,0,0.162,0,0,0,0.031,0,0,0
"1030",860.96423,167.94563,0.6756665,821.7163,146.0077,0.98708045,824.52277,182.32391,0.983655,809.8626,164.83784,0.8632139,798.88873,178.4667,0.97417724,789.7524,149.06131,0.95166236,822.1,200.20473,0.91914,781.4412,213.34811,0.97559184,779.47156,254.09625,0.99588245,733.674,413.00998,0.9853856,0.02185474,0.012397652,0.0035922085,0.0126214735,0.0013619853,0.000046284993,0.0038452148,0,0.004778122,0,0.06049768,0.006049768,0,0.02185474,0.009015046,0.018030092,0.011811882,0.05905941,0.011651651,0.0699099,0.011395779,0.07977045,0.0111840395,0.1677606,9.311456,0.93114555,0,0,1,0.0485,0,0.006,0,0.005,0,0.883,1,0.131,0,0.1975,0,0.067,0,0,0,0.004,0,0,0
"1031",860.94824,168.82486,0.7174459,821.4361,146.09099,0.98078316,824.39606,182.37439,0.98996496,809.8567,164.984,0.86765015,798.8597,178.52536,0.982156,789.7524,149.18207,0.9459318,822.06714,200.20473,0.92004466,781.4261,213.38962,0.9755818,779.47156,254.17384,0.995528,733.67944,413.00998,0.9838364,0.029312404,0.009744227,0.004546427,0.004875618,0.0021818557,0.0040252684,0.0010945637,0.0014725996,0.0025863647,0.00018107097,0.0600204,0.0060020396,0.00018107097,0.029312404,0.006025904,0.012051808,0.0113885,0.0569425,0.010843575,0.06506145,0.010844563,0.07591195,0.010600334,0.159005,9.358922,0.9358922,0,0,1,0.048,0,0.0045,0,0.0015,0,0.827,1,0.081,0,0.1855,0,0.121,0,0,0,0.0085,0,0,0
"1032",859.20886,168.82486,0.699803,819.9888,146.24669,0.96316594,823.8417,182.4838,0.9775528,808.5481,165.5955,0.87810296,798.5452,179.11195,0.9910954,788.77814,149.64824,0.95253205,821.83295,200.32944,0.9292892,781.3252,213.60416,0.97092396,779.49066,254.17384,0.99386877,733.67944,413.0092,0.98633206,0.05797933,0.048522584,0.01883582,0.0481475,0.022185402,0.03600101,0.008844236,0.007902589,0.00063680013,0.000026448568,0.24908173,0.024908174,0.000026448568,0.05797933,0.015455106,0.030910213,0.012494307,0.06247153,0.013641779,0.08185068,0.012852804,0.08996962,0.011005724,0.16508585,9.342666,0.93426657,0,0,1,0.1695,0,0.0165,0,0.01,0,0.639,1,0.054,0,0.1415,0,0.141,0,0.002,0,0.044,0,0,0
"1033",859.20886,168.00505,0.7299933,818.5412,146.71805,0.9667799,822.35815,183.03091,0.9536646,807.13574,165.9268,0.8857471,797.83514,179.30785,0.9819006,787.84576,150.06053,0.95937234,821.12714,200.39192,0.9401689,781.20056,213.6416,0.966286,779.4983,254.17384,0.9917073,733.6932,412.99814,0.98590934,0.027326966,0.050746,0.052706443,0.048356332,0.024553606,0.033982098,0.023619033,0.0043379096,0.00025431314,0.0005874966,0.2664702,0.02664702,0.00025431314,0.052706443,0.025777597,0.051555194,0.015117465,0.075587325,0.014853092,0.089118555,0.015499671,0.108497694,0.0121046,0.181569,9.361529,0.93615294,0,0,1,0.276,0,0.015,0,0.011,0,0.609,1,0.0085,0,0.106,0,0.2245,0,0.0025,0,0.057,0,0,0
"1034",859.20886,169.34373,0.6785117,818.419,146.78307,1,821.76337,183.1345,0.95828354,806.8793,166.16248,0.8845635,797.0939,179.67781,0.96958727,787.5838,150.13573,0.97082525,820.4435,200.45842,0.9635718,780.7801,213.67311,0.95922965,779.50323,254.2435,0.9867958,733.6932,412.9905,0.98323596,0.0446228,0.0046137813,0.02012471,0.011610244,0.027615575,0.009084718,0.022896042,0.014055005,0.00232772,0.00025431314,0.15720491,0.01572049,0.00025431314,0.0446228,0.021183755,0.04236751,0.0158655,0.079327494,0.015217969,0.09130782,0.014977006,0.10483904,0.012694372,0.19041558,9.354604,0.9354604,0,0,1,0.1045,0,0.0105,0,0.006,0,0.8075,1,0.0035,0,0.046,0,0.1825,0,0,0,0.021,0,0,0
"1035",860.62915,169.38336,0.76932544,818.419,147.08908,0.9847782,821.5602,183.27017,0.95325124,806.8793,166.1704,0.89253163,797.0939,179.67781,0.9596723,787.5838,150.18541,0.94405246,819.67474,200.64438,0.9781288,780.3528,215.05002,0.957904,779.50323,254.2435,0.98604816,733.6932,412.97144,0.9834051,0.04736136,0.0102005005,0.008143832,0.00026397704,0,0.0016560872,0.026363665,0.04805628,0,0.0006357829,0.14268148,0.014268148,0,0.04805628,0.0149943195,0.029988639,0.017509174,0.08754587,0.015599273,0.09359564,0.01508228,0.105575964,0.012666483,0.18999726,9.409098,0.94090974,0,0,0,0.45,0,0.007,0,0.012,0,0.5475,1,0.0175,0,0.1365,0,0.2935,0,0.0035,0,0.0415,0,0,0
