scorer,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.1,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.2,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.3,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.4,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.5,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.6,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.7,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.8,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.9,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.10,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.11,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.12,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.13,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.14,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.15,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.16,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.17,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.18,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.19,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.20,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.21,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.22,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.23,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.24,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.25,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.26,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.27,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.28,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.29
bodyparts,nose,nose,nose,leftEar,leftEar,leftEar,rightEar,rightEar,rightEar,neck,neck,neck,spineUpper,spineUpper,spineUpper,leftShoulder,leftShoulder,leftShoulder,rightShoulder,rightShoulder,rightShoulder,spineMid,spineMid,spineMid,spineLower,spineLower,spineLower,tailBase,tailBase,tailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1646,872.0625,483.59888,0.9716797,822.9883,471.9375,0.7602539,831.33594,504.88867,0.81103516,822.26953,492.6914,0.9609375,802.4072,492.81787,0.98339844,808.7969,463.26562,0.9863281,815.2383,513.1172,0.9902344,768.97266,494.0586,0.9638672,756.0513,520.21484,0.9296875,625.28516,565.7295,0.95654297
1647,871.98047,483.7572,0.9868164,822.8633,472.09766,0.7573242,831.40625,504.8164,0.80126953,822.22266,492.5996,0.9584961,802.34863,492.81738,0.9863281,808.6719,463.4453,0.98828125,815.02734,513.09375,0.9916992,768.8789,494.13672,0.9692383,756.0659,520.1992,0.9277344,625.34375,565.69727,0.95410156
1648,871.9414,483.91412,0.9941406,822.71875,472.1328,0.7519531,831.40625,504.8125,0.8017578,822.0957,492.6211,0.95996094,802.2754,492.84863,0.98535156,808.54297,463.59375,0.9946289,814.9668,513.02734,0.9941406,768.81055,494.1328,0.9711914,756.03143,520.2715,0.9296875,625.3828,565.6904,0.95703125
1649,872.22656,482.88867,0.93066406,822.98047,472.11133,0.75,831.6289,504.82227,0.8027344,822.2988,492.5161,0.95947266,802.2822,492.69238,0.99121094,808.59375,463.47266,0.9946289,815.30273,512.9043,0.99365234,768.68164,494.28125,0.9663086,756.05817,520.37305,0.9296875,625.4414,565.7344,0.9609375
1650,872.2383,481.4414,0.8256836,823.66797,472.07617,0.7368164,832.0,504.8203,0.8017578,821.8047,493.3379,0.9477539,802.43945,492.54053,0.9941406,808.77344,463.3164,0.99365234,815.80664,512.90234,0.99853516,768.584,494.44922,0.9682617,756.0498,520.2168,0.92822266,625.40234,565.7705,0.96191406
1651,872.6289,481.19727,0.79345703,823.8828,472.06445,0.7319336,831.9746,504.9629,0.8076172,822.0781,493.3584,0.94628906,802.42285,492.50586,0.9946289,808.8203,463.28906,0.9941406,815.9199,512.9512,0.9980469,768.5664,494.5625,0.96777344,756.0491,520.125,0.9238281,625.4121,565.75977,0.9628906
1652,872.6953,481.06836,0.80908203,823.9414,472.0586,0.7314453,832.0078,504.9922,0.80908203,822.14844,493.47168,0.9458008,802.39746,492.60303,0.9970703,808.96094,463.4414,0.9902344,815.9199,513.041,0.99609375,768.5625,494.64062,0.97021484,756.13196,520.1289,0.92333984,625.3672,565.6836,0.96484375
1653,872.8828,481.31055,0.80859375,823.8164,471.9922,0.73828125,832.03516,504.96875,0.8120117,821.9922,493.40527,0.94970703,802.3779,492.6045,1.0,808.83984,463.40234,0.9941406,816.0625,512.9883,0.9970703,768.3965,494.6875,0.9707031,756.10144,520.1992,0.9238281,625.3242,565.7627,0.9614258
1654,872.9453,481.31055,0.80615234,823.78125,471.95312,0.7392578,830.72656,505.91602,0.8173828,821.97656,493.3838,0.94970703,802.3711,492.5869,1.0,808.7539,463.375,0.9970703,816.1719,512.9844,0.9980469,768.375,494.6875,0.97021484,756.09454,520.1367,0.9243164,625.32227,565.76855,0.96240234
1655,873.1172,481.29688,0.7963867,823.79297,471.9922,0.7392578,830.83594,505.96094,0.8198242,821.8789,493.2998,0.94384766,802.3379,492.58008,1.0,808.7383,463.39844,0.99560547,816.2383,513.03516,0.9980469,768.39453,494.72656,0.9707031,756.05853,520.1543,0.92529297,625.2793,565.76465,0.9628906
