"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p"
"537",844.3058,619.4721,0.89692223,795.58905,588.93176,0.8230764,790.15656,621.506,0.92227185,784.2188,601.89874,0.8313371,767.7614,600.0482,0.7873109,774.6867,573.5879,0.86569065,764.14,623.8047,0.7315435,713.13837,581.3142,0.9107997,669.15137,557.3419,0.9305552,518.0269,484.16156,0.93150675
"538",846.6224,620.73706,0.9270688,796.22906,590.1548,0.85265625,791.8833,622.5826,0.8746505,785.5026,603.3457,0.78849316,768.604,601.23615,0.80207205,777.1046,574.93726,0.8459464,765.5669,625.26544,0.7553023,714.0775,581.4385,0.91668105,669.15137,557.4269,0.9306094,518.332,483.62177,0.9305213
"539",851.16797,620.9057,0.9517613,799.0446,590.49347,0.81380546,794.29645,624.55786,0.92037797,788.7122,605.1886,0.7472117,769.9941,602.4916,0.75736415,777.4013,576.2162,0.8675188,766.4921,626.93304,0.722785,715.0836,581.32587,0.8936235,669.4004,557.90295,0.92487043,519.2976,482.7945,0.9074121
"540",854.02216,622.1801,0.95718986,803.77924,591.5473,0.80565476,798.23425,626.24927,0.9949439,791.99915,606.00055,0.7804469,771.4381,604.40265,0.8005939,778.15283,577.7029,0.81278366,767.86163,627.915,0.7300488,715.4199,581.4994,0.89226574,669.83636,558.18243,0.9100372,520.1705,482.64862,0.9074696
"541",859.8931,626.21893,0.85281926,808.27484,593.12085,0.8560661,801.7034,627.49615,1,795.6076,607.1585,0.8900203,775.01483,604.95416,0.8448685,778.9057,578.94183,0.81301385,772.9041,628.5341,0.7481495,716.81964,581.6081,0.8744753,669.8866,558.5987,0.89623886,520.3663,482.0587,0.89986324
"542",862.04254,626.41144,0.9098192,808.9351,595.33826,0.87444854,802.55396,628.1663,1,797.3133,609.32367,0.9270127,776.3694,604.98663,0.84145075,780.89514,580.73065,0.86057025,772.9961,628.74115,0.7826767,718.20245,581.65796,0.85804164,670.5826,560.1499,0.9115159,522.52264,481.03012,0.9415106
"543",863.1516,626.7377,0.8877051,809.37537,595.40497,0.91556054,803.5931,628.3517,1,799.5767,609.5185,0.8998792,779.3537,604.98663,0.77403533,785.6437,580.73065,0.86404413,775.45325,628.74115,0.75589234,719.3045,581.9299,0.8402825,670.836,560.1499,0.8890594,523.9549,480.7407,0.94026667
"544",863.5895,626.41144,0.888473,811.90564,595.40497,0.8895251,805.31165,628.36383,1,800.864,609.75146,0.8983644,781.9076,604.98663,0.8092294,788.2985,580.73065,0.9127709,776.2547,628.7638,0.7739164,723.81494,581.9299,0.9304145,671.4942,560.1499,0.8956715,523.9876,480.5632,0.9389145
"545",864.83826,626.41144,0.9914344,812.9032,595.39856,0.8420626,807.3652,628.36383,1,802.26056,609.75146,0.9216717,784.0196,604.98663,0.84377486,790.7006,580.4053,0.892092,779.0176,628.74115,0.7450259,725.76996,581.9299,0.91878057,672.4824,559.6135,0.8565932,524.9902,480.44815,0.93494827
"546",867.1586,625.32,0.9089106,815.54333,595.39856,0.81879103,810.0243,628.36383,1,804.9423,609.75146,0.90126586,785.97473,604.84705,0.8484435,791.8762,579.6028,0.87477505,781.6335,628.66974,0.7567806,726.90594,581.71875,0.93190426,672.6516,558.6651,0.8484769,525.4037,480.19357,0.93386847
"547",870.1785,619.6627,0.9763632,815.63336,593.919,0.8570132,813.50854,626.6012,1,807.32227,608.7217,0.86831063,786.2078,604.8297,0.82078207,793.2033,577.9423,0.8704564,783.203,627.818,0.753005,727.444,580.80646,0.9104075,672.84686,556.6617,0.87349623,525.5522,479.6759,0.9533673
"548",870.1785,615.7705,0.93048483,815.63336,592.0188,0.8928727,816.6868,625.6028,0.988389,808.7892,606.90643,0.8438518,787.46094,603.49646,0.83025044,793.2033,576.6843,0.8829221,784.7393,625.7828,0.8156221,727.98096,579.9621,0.8890367,672.86035,555.7965,0.8916628,528.11066,477.06717,0.9478561
"549",870.1785,610.45856,0.89261705,815.63336,589.39923,0.9054786,816.6868,623.69745,0.95652515,808.7892,605.87067,0.81963205,787.90594,602.5242,0.80320233,793.2033,575.6746,0.9022338,786.11066,625.32336,0.837255,728.27655,579.8263,0.89859986,673.4073,555.7965,0.8812791,531.32623,472.28546,0.9007487
"550",868.99316,605.89545,0.958087,815.0509,587.4811,0.91825974,816.6868,621.37866,0.9557409,808.7892,604.66846,0.800927,787.90594,602.0224,0.77674115,793.1979,574.9009,0.91081744,787.2852,624.7793,0.85561264,728.39777,579.8263,0.87044245,674.155,555.7965,0.87789315,531.32623,471.04764,0.94803995
"551",866.4111,602.79846,0.91931474,813.9907,585.17426,0.85638857,816.4776,618.59534,0.9039664,808.3116,602.1246,0.8002131,787.90594,600.11426,0.77774405,792.3127,574.0814,0.8708395,787.2852,623.7558,0.8227181,728.39777,579.8263,0.8780045,674.4547,556.48224,0.8684907,531.3639,471.04764,0.9499155
"552",866.141,602.3359,0.8835089,812.8774,583.61237,0.89153636,815.2174,617.521,0.9160685,807.21747,600.0781,0.85694605,786.9452,598.4612,0.7884388,791.0138,572.2794,0.9106701,787.2852,623.2919,0.8189906,728.39777,580.52936,0.89785886,674.4547,556.91296,0.8681767,531.4463,471.04764,0.9479206
"553",865.6396,601.3664,0.8552974,812.3052,582.57074,0.90827227,813.9137,616.7258,0.94560933,806.0422,598.98346,0.897859,786.3555,598.4612,0.79926515,790.2406,572.2794,0.9250155,786.9809,623.05365,0.80857754,727.8361,580.56036,0.91504556,674.4547,557.3764,0.8709224,531.91473,471.18018,0.9402221
"554",862.52826,601.1922,0.8493788,810.17194,581.68933,0.9122124,811.5313,616.4365,1,803.8651,598.98346,0.9177788,786.28613,598.4612,0.81775784,788.82556,572.24194,0.9471349,786.4462,622.6559,0.82286525,727.6206,580.8371,0.89794916,674.46576,557.8009,0.85863423,531.9321,471.19183,0.94025046
"555",856.76483,600.7367,0.8511413,806.3898,581.063,0.8882792,808.63153,616.4365,0.9940276,800.9766,598.98346,0.8985993,783.67206,598.74274,0.845065,786.3742,572.0824,0.9389181,784.03046,622.10803,0.8645937,726.7069,580.9277,0.9376722,674.3222,557.8009,0.8485875,532.54535,471.19724,0.93615884
"556",855.5894,600.7061,0.7957863,804.02313,580.9112,0.9006052,805.0904,616.1176,0.9775816,799.12726,599.001,0.89730346,781.33344,599.1403,0.85235924,786.23535,572.24194,0.9021255,780.81976,621.8322,0.84920055,725.8413,581.7519,0.95759755,674.27057,557.8009,0.84768015,532.59216,471.19724,0.9311311
