target_present,Movement_leftEar,Movement_leftShoulder,Movement_neck,Movement_nose,Movement_rightEar,Movement_rightShoulder,Movement_spineLower,Movement_spineMid,Movement_spineUpper,Movement_tailBase,All_bp_movements_Animal_1_sum,All_bp_movements_Animal_1_mean,All_bp_movements_Animal_1_min,All_bp_movements_Animal_1_max,Mean_All_bp_movements_Animal_1_mean_2,Sum_All_bp_movements_Animal_1_mean_2,Mean_All_bp_movements_Animal_1_mean_5,Sum_All_bp_movements_Animal_1_mean_5,Mean_All_bp_movements_Animal_1_mean_6,Sum_All_bp_movements_Animal_1_mean_6,Mean_All_bp_movements_Animal_1_mean_7.5,Sum_All_bp_movements_Animal_1_mean_7.5,Mean_All_bp_movements_Animal_1_mean_15,Sum_All_bp_movements_Animal_1_mean_15,Sum_probabilities,Mean_probabilities,Low_prob_detections_0.1,Low_prob_detections_0.5,Low_prob_detections_0.75
1,0.28931993,0.37466753,0.29588884,0.28995392,0.2782012,0.2872480999999999,0.21745427,0.24267796,0.20183048,0.111114785,2.588357,0.2588357,0.111114785,0.37466753,0.1911529824137688,0.3823059648275376,0.2075960367918014,1.0379801839590073,0.2185235892732938,1.3111415356397629,0.2213216168539864,1.5492513179779053,0.3952330569426217,5.928495854139327,8.724121,0.8724120999999999,0,0,1
1,0.650029,0.5839928000000001,0.55123514,0.55990124,0.56519043,0.6118304,0.50170046,0.45073557,0.70969063,2.1070547000000004,7.2913604,0.72913605,0.45073557,2.1070547000000004,1.927169352769852,3.854338705539704,1.7180302739143372,8.590151369571688,1.5269584357738497,9.161750614643095,1.3721308537891932,9.604915976524351,0.7458313698569934,11.1874705478549,8.6875,0.86875,0,1,1
1,0.4400944999999999,0.46416187,0.44129524,0.44193715,0.45876187,0.39528307,0.42322168,0.3705017,0.31160843,0.4696965,4.216562000000001,0.4216562,0.31160843,0.4696965,0.3556110858917236,0.7112221717834473,0.3134727776050568,1.5673638880252838,0.3094742248455684,1.85684534907341,0.3018508042607989,2.112955629825592,0.2402357637882233,3.603536456823349,9.425293,0.9425293,0,0,1
1,0.18856214,0.39675266,0.40249512,0.38289613,0.38303867,0.42728108,0.3385965,0.36022437,0.26591334,0.32091343,3.4666733999999995,0.34666735,0.18856214,0.42728108,0.3741190433502197,0.7482380867004395,0.4383264064788818,2.191632032394409,0.4360799491405487,2.616479694843292,0.44773040499006,3.13411283493042,0.5202661196390788,7.8039917945861825,9.050293,0.9050293,0,0,0
1,0.49977815,0.41226056,0.39208132,0.3942479,0.5131808,0.45795345,0.41485104,0.6543123000000001,0.51389897,0.6789869000000001,4.9315515,0.49315515,0.39208132,0.6789869000000001,0.5639881640672684,1.1279763281345367,0.6267960369586945,3.1339801847934723,0.9120476891597112,5.472286134958266,0.8766620542321887,6.13663437962532,0.8251293261845907,12.37693989276886,9.334473,0.93344724,0,0,0
1,0.66261035,0.6272138,0.649834,0.6470146999999999,0.62249,0.56433827,0.68072516,0.4310802999999999,0.2232651,0.016072161,5.124644,0.5124644,0.016072161,0.68072516,0.4768775105476379,0.953755021095276,0.4006173074245453,2.0030865371227264,0.3905786126852036,2.3434716761112213,0.3888940300260271,2.72225821018219,0.6980134824911753,10.470202237367632,8.780517999999999,0.87805176,0,1,1
1,0.2306648999999999,0.19490126,0.19883776,0.22402902,0.17152138,0.16024469,0.17163338,0.21075669,0.47569868,0.34281015,2.3810978,0.23810978,0.16024469,0.47569868,0.277416817843914,0.5548336356878281,0.3867373198270797,1.9336865991353989,0.4185254946351051,2.511152967810631,0.4579789617231914,3.20585273206234,0.5765321721633275,8.647982582449911,8.404297,0.84042966,0,0,3
1,0.31787786,0.3169987,0.30162922,0.33968896,0.39166173,0.32809487,0.44106534,0.49717638,0.54488045,0.47601715,3.9550908,0.39550906,0.30162922,0.54488045,0.4390175193548202,0.8780350387096405,0.4992967784404755,2.4964838922023773,0.5064461181561152,3.038676708936692,0.5161989714418139,3.6133928000926967,1.4674203614393868,22.011305421590805,9.637695,0.96376956,0,0,0
1,0.25257677,0.3007112,0.2443342,0.18430077,0.29615608,0.27378404,0.15004529,0.35364333,0.39348614,0.5077037,2.9567413,0.29567418,0.15004529,0.5077037,0.2511779889464378,0.5023559778928757,0.3023466348648071,1.5117331743240356,0.3394114176432292,2.036468505859375,0.3714290176119123,2.6000031232833862,0.8775504946708679,13.16325742006302,9.136719,0.91367185,0,0,1
1,0.36207956,0.42498454,0.6393649,0.52174765,0.39806706,0.14761192,0.48671252,0.40655318,0.03440112,0.11245399,3.5339763,0.35339764,0.03440112,0.6393649,0.378000944852829,0.756001889705658,0.3511176466941833,1.7555882334709167,0.3177805294593175,1.9066831767559047,0.2898321385894503,2.028824970126152,0.2191730921467145,3.2875963822007184,8.907227,0.89072263,0,0,1
